mpiL shift
0.10 3115.71673681
0.20 433.00483724
0.30 135.56809763
0.40 58.94488688
0.50 30.59751083
0.60 17.74079440
0.70 11.09288083
0.80 7.32602651
0.90 5.04271391
1.00 3.58518361
1.10 2.61595742
1.20 1.94976330
1.30 1.47918991
1.40 1.13910798
1.50 0.88851441
1.60 0.70075820
1.70 0.55803538
1.80 0.44816562
1.90 0.36264037
2.00 0.29540563
2.10 0.24208287
2.20 0.19945874
2.30 0.16514386
2.40 0.13734035
2.50 0.11468084
2.60 0.09611514
2.70 0.08082946
2.80 0.06818801
2.90 0.05769037
3.00 0.04893987
3.10 0.04162013
3.20 0.03547728
3.30 0.03030651
3.40 0.02594173
3.50 0.02224764
3.60 0.01911349
3.70 0.01644830
3.80 0.01417701
3.90 0.01223748
4.00 0.01057809
4.10 0.00915583
4.20 0.00793473
4.30 0.00688468
4.40 0.00598033
4.50 0.00520035
4.60 0.00452673
4.70 0.00394420
4.80 0.00343982
4.90 0.00300260
5.00 0.00262318
5.10 0.00229355
5.20 0.00200691
5.30 0.00175739
5.40 0.00153999
5.50 0.00135041
5.60 0.00118494
5.70 0.00104040
5.80 0.00091405
5.90 0.00080351
6.00 0.00070674
6.10 0.00062196
6.20 0.00054763
6.30 0.00048243
6.40 0.00042520
6.50 0.00037493
6.60 0.00033076
6.70 0.00029192
6.80 0.00025775
6.90 0.00022767
7.00 0.00020118
7.10 0.00017784
7.20 0.00015727
7.30 0.00013913
7.40 0.00012312
7.50 0.00010900
7.60 0.00009652
7.70 0.00008550
7.80 0.00007576
7.90 0.00006715
8.00 0.00005954
8.10 0.00005281
8.20 0.00004685
8.30 0.00004157
8.40 0.00003690
8.50 0.00003276
8.60 0.00002909
8.70 0.00002584
8.80 0.00002296
8.90 0.00002040
9.00 0.00001814
9.10 0.00001612
9.20 0.00001434
9.30 0.00001275
9.40 0.00001135
9.50 0.00001010
9.60 0.00000899
9.70 0.00000800
9.80 0.00000712
9.90 0.00000634
10.0 0.00000565
